"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0424693224055115,-0.0736150345792868,-0.0245850104065117,0.01
"2","df_in[, -1]Diff_Index_1",-0.00171031830968096,-0.0133814848783663,0.0140344895277708,0.01
"3","df_in[, -1]Diff_Index_2",0.00127710398853956,8.80057770007158e-05,0.0081097578585992,0.01
"4","df_in[, -1]Diff_Index_3",-0.00530621052895454,-0.00912396471002824,0.0107222465705322,0.01
"5","df_in[, -1]Diff_Index_4",-0.00634941391657233,-0.00988825449863556,0.00199844490054568,0.01
"6","df_in[, -1]Lag_1",-0.548286880326122,-6.914736981092,-0.265258224707309,0.01
