"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.020453343477855,-0.03461669393949,-0.0095537300216506,0.05
"2","df_in[, -1]Diff_Index_1",0.00062232474276954,-0.00223245394261921,0.00304042160519765,0.05
"3","df_in[, -1]Diff_Index_2",0.00115382514652498,-0.00673607560132533,0.00663235553748437,0.05
"4","df_in[, -1]Diff_Index_3",-0.00357813922640212,-0.00618349218139482,0.00498028794218838,0.05
"5","df_in[, -1]Lag_1",-0.356990430530269,-1.10250698520627,0.932390693921672,0.05
"6","df_in[, -1]Pos_Val_for_Lag_1",0.00602311663842961,-0.0189042510019375,0.016679247174792,0.05
