Index,PG,MV CAViaR,MV CAViaR + AR,MV CAViaR + SAV,MV CAViaR + AS,SAV,Abs. Slope,Ind. GARCH,Adaptive
2010-01-05,0.00264329431301746,-0.0272262894685136,-0.0266887439397583,-0.0297759483794025,-0.028895680622554,-0.0163202510465273,-0.0140415760865006,-0.0159087307384502,-0.0398309986019534
2010-01-06,0.000703870036578458,-0.0280032749682403,-0.0285013923398004,-0.0208807115637751,-0.0306109243876517,-0.0155988082684647,-0.0134650098361734,-0.0153666188291137,-0.0398493785669214
2010-01-07,0.0042127186440224,-0.0279144555866909,-0.0245965136373464,-0.0194784816166008,-0.0308195620671959,-0.0145605625338041,-0.012898331357139,-0.0148012755745084,-0.0398981771104029
2010-01-08,0.00332208319765126,-0.0280478127136715,-0.022451689155451,-0.0222729802441347,-0.0304384406226688,-0.0143124446399212,-0.0123958381969509,-0.0144290151828745,-0.0399638927119096
2010-01-11,0.00139555692459048,-0.0277305125997315,-0.0264045256012918,-0.0208197550487505,-0.0304973367936198,-0.0139111371966366,-0.0119872543313038,-0.0140153151466377,-0.0399787050652102
2010-01-12,-0.00937038701825443,-0.0277377384661407,-0.0262367148881073,-0.0196870987830535,-0.0307173306413173,-0.0131660265864072,-0.011419808602689,-0.0135327174752275,-0.0399903795677629
2010-01-13,0.00841128888323794,-0.0283685558728158,-0.0260052927231527,-0.0132376924397179,-0.0263032794283365,-0.0140671279330659,-0.0132433066620679,-0.0139616617599791,-0.0400011659289715
2010-01-14,0.0027005159932223,-0.0275922531933879,-0.025892515801051,-0.0246393911508492,-0.0299002803268381,-0.0146950742933553,-0.0128288462009819,-0.0140593454126977,-0.0400979060074811
2010-01-15,-0.0112875547251852,-0.0278657112161563,-0.028703673069465,-0.0207673557808502,-0.030586053281904,-0.0141354302910054,-0.012296918073141,-0.0137161099621183,-0.0401148560851441
2010-01-19,0.0124184262235483,-0.0283963392033341,-0.027373015573006,-0.0116800171289593,-0.0265249538212984,-0.0153258434902921,-0.014507368773029,-0.0144228469250822,-0.040139100072195
2010-01-20,-0.0102209761660816,-0.0275367073831819,-0.0241622836243111,-0.0277501767381966,-0.0294372882597938,-0.0166172955404304,-0.0140625558349961,-0.0153772438261416,-0.0402114333027227
2010-01-21,-0.0194162752890206,-0.0286743710406766,-0.0288507168936261,-0.0134080588010667,-0.0264408119336617,-0.0172522095825015,-0.0160470250458609,-0.0165957178870694,-0.0404381010157955
2010-01-22,-0.0225442059062777,-0.0286816724781348,-0.0276618699127447,-0.00628220054035009,-0.0274872116491624,-0.0203833310718736,-0.0199466346033086,-0.0200678953187469,-0.0405279249412811
2010-01-25,0.0051149889174793,-0.0287549900175954,-0.0296006815347929,-0.00439968874138319,-0.0278526182376695,-0.0236219547733406,-0.0244310249294086,-0.0237735323885994,-0.0405674911886584
2010-01-26,-0.00419954903783637,-0.02767227733934,-0.0339792637200037,-0.0220583943331278,-0.0302857244029962,-0.0226362325108208,-0.0230906465529551,-0.0226065155389746,-0.0406085611999118
2010-01-27,0.00474605777701331,-0.0281570773583881,-0.0360205655314285,-0.0165336680990973,-0.0256871669395051,-0.0215514307087534,-0.0227892130549439,-0.0214529388152794,-0.0406537947132546
2010-01-28,-0.011538587025032,-0.0279598858885963,-0.0289793191408187,-0.0228508650309223,-0.0303660659318435,-0.0206966396422385,-0.0215726101932701,-0.0204388815909871,-0.0406897696303607
2010-01-29,-0.0109283163495935,-0.0283767268838761,-0.0279774004023637,-0.0114838209788461,-0.0265508756437369,-0.0214114495748343,-0.0231526298555894,-0.0206286693780273,-0.0407474724131423
2010-02-01,0.0154311401695892,-0.0284479030331981,-0.0274610372087966,-0.0121514452655564,-0.0264909956150304,-0.0219203929771544,-0.0244638523724604,-0.0206588227498591,-0.0407881259961571
2010-02-02,0.0120304062081775,-0.0274788415521371,-0.0278829492059394,-0.0293697461361808,-0.029087043683521,-0.0233603276338429,-0.0232726645459529,-0.021820295355151,-0.0408394466074193
2010-02-03,-0.00499464300314134,-0.027301166561734,-0.0311315525526959,-0.0264016908349591,-0.0294499567666134,-0.0239115061465432,-0.0221261161792953,-0.0219391552618328,-0.0413421893252629
2010-02-04,-0.0313527038243491,-0.0282235611166435,-0.025088632960784,-0.0158545195711899,-0.0257864380961145,-0.022866240630174,-0.0220913551386641,-0.0209091565874758,-0.041402841616282
