"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0092880747189805,-0.0121286186115735,-0.00739318486171582,0.1
"2","df_in[, -1]Diff_Index_1",-0.000445972678507371,-0.00101221161386898,0.000392102269033678,0.1
"3","df_in[, -1]Diff_Index_2",0.00108309662557556,-0.00101587995280838,0.00334656454771093,0.1
"4","df_in[, -1]Diff_Index_3",0.00222457558190251,0.000246483829909997,0.00407929713462006,0.1
"5","df_in[, -1]Diff_Index_4",0.00376338337935562,0.000678265803474361,0.00572630027114523,0.1
"6","df_in[, -1]Diff_Index_5",0.0011585336908534,-0.00283204648456503,0.00381794782176577,0.1
"7","df_in[, -1]Diff_Index_6",-0.000808171069767112,-0.00613191027489642,0.00190469704721713,0.1
"8","df_in[, -1]Lag_1",-0.340289680270601,-0.54029986336695,-0.0303517228673136,0.1
