Index,PG,MV CAViaR,MV CAViaR + AR,MV CAViaR + SAV,MV CAViaR + AS,SAV,Abs. Slope,Ind. GARCH,Adaptive
2016-01-06,-0.0126944555834765,-0.0145829512731107,-0.0164326251191957,-0.0136160979156248,-0.0169613604369655,-0.0141520776604029,-0.0220974935033022,-0.0140563102382266,-0.0147169650955618
2016-01-07,-0.0242840622809242,-0.0190379481372247,-0.0145938926663337,-0.0115325711397486,-0.0171587958895672,-0.0154709185284756,-0.0263065873874857,-0.015078920780029,-0.0146794433822402
2016-01-08,-0.0110370977392966,-0.0202145834219184,-0.0245666132120195,-0.0084839767151801,-0.0247603424554718,-0.0193007597679701,-0.0350694951887623,-0.0210671696828509,-0.0153888053492774
2016-01-11,0.000989390418147273,-0.0159430358915365,-0.0283819450606483,-0.0105463122659783,-0.0271324106011371,-0.018356176309981,-0.0369116674327154,-0.0192749405292226,-0.015390529066988
2016-01-12,0.00803607724959665,-0.0176120822220679,-0.0265231736094755,-0.0126549935741506,-0.0253593624545537,-0.0152842124003071,-0.0334038185838318,-0.0165891320482713,-0.015388139881345
2016-01-13,-0.0252570602686362,-0.010331356347282,-0.014842436568517,-0.0115814450219205,-0.0103471818703597,-0.015010643039499,-0.0283173802921565,-0.0155696409907345,-0.0153841520555606
2016-01-14,0.016283555390447,-0.0190515241102303,-0.0263594706580686,-0.00845822552991772,-0.0221492680425482,-0.0191626491975564,-0.0372137289474494,-0.0213826593076164,-0.0154492987755912
2016-01-15,-0.021699822639464,-0.00580856440803812,-0.0257444175069127,-0.0150695411999075,-0.0207901066775105,-0.0196197576588817,-0.0293453949767508,-0.0211745715317019,-0.0154322941568883
2016-01-19,0.00133034790280462,-0.0182835106128536,-0.0267924659771267,-0.00968991347141225,-0.0152109903283929,-0.0235735218185346,-0.0348160427845731,-0.0234705102625916,-0.0155851096658646
2016-01-20,-0.0128979412799497,-0.016632187564832,-0.0239272698430865,-0.0130876373378921,-0.0219783316082081,-0.0199864754226989,-0.0319704384365506,-0.0200341753425478,-0.0155742470756341
2016-01-21,0.00558641177454877,-0.0116183912925612,-0.0211282114204479,-0.00724042881675553,-0.0111935226839521,-0.0201462187201226,-0.034870966598907,-0.0193356458353317,-0.0155821611540753
