"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0154454664123421,-0.0289876587861397,-0.00884230514095994,0.01
"2","df_in[, -1]Diff_Index_1",-0.000109338670133841,-0.00407747525295454,0.00385728453074926,0.01
"3","df_in[, -1]Diff_Index_2",-0.00383576002440847,-0.00548368149631363,0.000818908573910191,0.01
"4","df_in[, -1]Diff_Index_3",-0.00168758834695741,-0.00281011607970996,0.0107117616408836,0.01
"5","df_in[, -1]Diff_Index_4",0.00924433714947732,-0.00748338416369839,0.0120258773491741,0.01
"6","df_in[, -1]Diff_Index_5",0.000305351297124106,-0.00710157565951163,0.00518232496453118,0.01
"7","df_in[, -1]Diff_Index_6",-0.000991459395979989,-0.0124769185367783,0.00540643769614995,0.01
"8","df_in[, -1]Diff_Index_7",-8.47624452671668e-05,-0.0102086902516557,0.0179748168832696,0.01
"9","df_in[, -1]Diff_Index_8",-0.00014605501262192,-0.0137341345893141,0.0108740638668334,0.01
"10","df_in[, -1]Diff_Index_9",0.00321826175837296,-0.0156439661515431,0.0140448245947626,0.01
"11","df_in[, -1]Diff_Index_10",-0.00187347974610779,-0.0231811152735917,0.0135409627664497,0.01
"12","df_in[, -1]Lag_1",0.0849458416045146,-1.53542199559134,0.444315499673094,0.01
"13","df_in[, -1]Lag_2",-0.708917190806259,-1.55863983809205,-0.300881837325558,0.01
"14","df_in[, -1]Lag_3",-0.151640191109385,-1.06347452096267,0.134777988713954,0.01
"15","df_in[, -1]Lag_4",-0.280912414953765,-1.0341635388422,0.295550585782018,0.01
"16","df_in[, -1]Lag_5",-0.490624734873449,-1.51486607580659,-0.171410374504692,0.01
