Index,PG,MV CAViaR,MV CAViaR + AR(1),MV CAViaR + SAV,MV CAViaR + AS,SAV,Abs. Slope,Ind. GARCH,Adaptive
2014-01-03,-0.000164181101187211,-0.018615677744851,-0.0188678554976866,-0.0123122135561649,-0.0208196421364034,-0.0125814023075224,-0.0121519298858505,-0.0123713075523672,-0.0135138799770067
2014-01-06,-0.0029022122852842,-0.0172326135121575,-0.0174459785563568,-0.0143675477146302,-0.0215846642762035,-0.0115593210293449,-0.0112473571655142,-0.0119703425568099,-0.0134566673754376
2014-01-07,0.00612303649672707,-0.0175028973231666,-0.0174684020206228,-0.0136116750882981,-0.0205006084231507,-0.0112926763567548,-0.0115950488661426,-0.0117009163475614,-0.0134807285825492
2014-01-08,0.00021832780973341,-0.0161599875847628,-0.0160401791829524,-0.0155412948038283,-0.0140771045163366,-0.0113510295370852,-0.0109466428039616,-0.0117822080850313,-0.013455016079999
2014-01-09,0.000653366456850435,-0.017244606228738,-0.0175919205376207,-0.0145349986938067,-0.0150747859255855,-0.0104342958244268,-0.0102813245112302,-0.0114383560822617,-0.0133341767881713
2014-01-10,0.00271894536776696,-0.0167983835871129,-0.0163799932161481,-0.014153723522067,-0.0125660729653329,-0.00973147778753495,-0.00970253380443287,-0.0111332109046457,-0.0133084624926696
2014-01-13,-0.0133943571902257,-0.0165789925382254,-0.0163166689169429,-0.0147047005266129,-0.0132809242123638,-0.00959128861963858,-0.00926106153834052,-0.0109412606691964,-0.0132864035295675
2014-01-14,0.0108388300137623,-0.0189260053924794,-0.0187150561328737,-0.0111967767991137,-0.0189217674752533,-0.0123852299460207,-0.0138593929261197,-0.0126791579601877,-0.0133836707410407
2014-01-15,0.00537548898145257,-0.0156536174910458,-0.0158791509664039,-0.0167923676940202,-0.015672625090482,-0.0138315624942772,-0.0132770036430377,-0.0134152596997041,-0.0133772335192661
2014-01-16,-0.00130059790501225,-0.0165960130028633,-0.0171316761001856,-0.0157852666176219,-0.0161892143105994,-0.0138437881000916,-0.0125475331260732,-0.0132108804747584,-0.013403659057256
2014-01-17,-0.00423830926774382,-0.0170733278553296,-0.0166418745164007,-0.0137163237182388,-0.0193300420531669,-0.0129193972608798,-0.0122186953530156,-0.012763127439094,-0.0133795301301559
2014-01-21,0.00293630025211389,-0.0176452660397238,-0.0175107350720578,-0.0132558511234611,-0.0200412597145841,-0.0123517583254306,-0.0129485709229476,-0.0124885617623019,-0.0133846365203141
2014-01-22,0.000651314659363855,-0.0163997999744684,-0.0158422542183359,-0.0145685991945417,-0.0123183626857237,-0.0119342669993514,-0.0122085548370749,-0.0121801668804874,-0.0134022490362238
2014-01-23,-0.00822677505236236,-0.0170506122590246,-0.0171351701552514,-0.0144664876380883,-0.0142407077907976,-0.0110451869229631,-0.0114850707249599,-0.0118163409887922,-0.0134022409259004
2014-01-24,-0.0215668301287328,-0.0183858394100064,-0.0185826953873418,-0.0125860022749245,-0.0207679751278468,-0.0120099519782641,-0.0136853438979831,-0.0121919659359387,-0.0133575170977729
2014-01-27,-0.00493171042298357,-0.0200607206735711,-0.0197647079447897,-0.00934839936222474,-0.0178664098583378,-0.0163461244526844,-0.020813279924382,-0.0160478959795281,-0.0135162808178806
2014-01-28,0.00593714782483001,-0.0176990916090854,-0.0174725971862348,-0.0130462474794493,-0.0196695103315966,-0.0159377656385134,-0.02044330444085,-0.0155398212650382,-0.0134695878406669
2014-01-29,-0.00965157003259787,-0.0160821810990017,-0.015753582619598,-0.0153704314672334,-0.0133642671836571,-0.0158114175942539,-0.0188247797380386,-0.0151705256662133,-0.0134907784754127
2014-01-30,0.0105449115478615,-0.0184414063154675,-0.0183394301942746,-0.0120868903268594,-0.0196382502284452,-0.0165513080598425,-0.020696140435221,-0.0153146177219997,-0.0135144430140601
2014-01-31,-0.00587600635690499,-0.0154930407970748,-0.0153134765564377,-0.0164755193046948,-0.0142958729369356,-0.0174018620659455,-0.0193061468731734,-0.0155594377991874,-0.0134943344387586
2014-02-03,-0.0227622086037806,-0.0179058338764438,-0.0178204962422938,-0.012926702390354,-0.020050353145945,-0.0170757544937593,-0.0198004468074118,-0.0151940839475925,-0.0134762354931584
2014-02-04,0.00697986804233519,-0.0202620462904295,-0.0200241667824474,-0.00912199060598216,-0.0179470613616812,-0.0206567688531729,-0.0257208000904048,-0.0185227265215869,-0.0137116257228262
2014-02-05,-0.00125482796224752,-0.0161545378666533,-0.0162702700763591,-0.0158762160993423,-0.0149424090395601,-0.0201708386225903,-0.0237692594278483,-0.0179653149339457,-0.0136712507984007
2014-02-06,0.0131008882698058,-0.0173683396398121,-0.0175389981916723,-0.0141013486547732,-0.0213394118611594,-0.018435600484873,-0.0222921526673284,-0.0171178739602776,-0.013685163065559
2014-02-07,0.0123197576004035,-0.0152667272579192,-0.0153704458085652,-0.017213456141489,-0.0154806867046976,-0.0196318111744955,-0.0209179726376405,-0.0175985585246603,-0.0136844531921666
2014-02-10,0.00183470734533664,-0.0152602813280784,-0.0151264824819424,-0.0168939344478815,-0.0146159512841337,-0.0204979228075698,-0.0196602412319166,-0.017861187332165,-0.0136562663675989
2014-02-11,0.0108845882370145,-0.0167582790230573,-0.0165995729957381,-0.0145749716880006,-0.0135424346631812,-0.0188543088905643,-0.0181968152131675,-0.0170426954085252,-0.0136118523167757
2014-02-12,0.000494451958483744,-0.0154264179476526,-0.0152115399550902,-0.0165281506741197,-0.0142103683315398,-0.0194934751933595,-0.0166828435446842,-0.0171473382408033,-0.0135512090624188
2014-02-13,0.00514928265570713,-0.0170576024823499,-0.0171110024786488,-0.0144126227869083,-0.0141221317020336,-0.017667184449733,-0.0149113686387743,-0.0163711238157875,-0.0134934125592668
2014-02-14,0.00550397146245007,-0.0162223039968766,-0.015946854948981,-0.0152304452639001,-0.0134668223815108,-0.0171418877989016,-0.0138181805422858,-0.0158663114311114,-0.0134959251804941
2014-02-18,0.00119470017198609,-0.0162415660522702,-0.0161065775470987,-0.0153958394165664,-0.0139680682703183,-0.0167631502908823,-0.0128478168747844,-0.0154392195736972,-0.0134879756439281
2014-02-19,-0.00664366212914302,-0.01687343617844,-0.0167605622324425,-0.0144629113441847,-0.0136345918105171,-0.0154477695173094,-0.0119804737746003,-0.0148217272353807,-0.0134969404833223
2014-02-20,0.00588343445363915,-0.0179656586527517,-0.0177789788867006,-0.0126949451712165,-0.0196403573602568,-0.0156292756990659,-0.0138796340453794,-0.0146169521912994,-0.013478677116651
2014-02-21,-0.00114124163590645,-0.0161188726907696,-0.0158480760301023,-0.0153946277471319,-0.0135516739262943,-0.015455294355643,-0.0129325828678347,-0.0143287616569218,-0.0134928096078432
2014-02-24,0.00553158717329438,-0.0172896895109454,-0.0173360011882518,-0.0140488643709984,-0.0209360651329564,-0.0142979790059273,-0.0124957122441818,-0.0137856944761407,-0.0134696343216279
2014-02-25,-0.00037876220006261,-0.0164168439129977,-0.0166397146390179,-0.0156247658568442,-0.0151623562881395,-0.0143175607278469,-0.0117306452343962,-0.0135657673543555,-0.0134442671108921
2014-02-26,5.41832652283247e-05,-0.0170948427300772,-0.0169714557935968,-0.0141106917113713,-0.0204430003058752,-0.0131669826248753,-0.0111616014623675,-0.013094028889718,-0.0134690644209602
2014-02-27,0.00523366203352271,-0.0170571450573005,-0.0169830129373961,-0.0142364789393176,-0.0136558525946086,-0.0120500302393091,-0.0104848914011501,-0.0126231033917233,-0.0134472848983278
2014-02-28,0.0025259963049491,-0.0164462361358356,-0.0166421025330936,-0.0155424977886188,-0.0150442848072059,-0.0122977819862232,-0.00994005159815963,-0.0124948526676483,-0.0134247876418213
2014-03-03,-0.00705712134708492,-0.016512698952911,-0.0160625385770366,-0.0145453349407302,-0.0126371948705593,-0.0118682008538849,-0.00945980415979217,-0.0121729375029045,-0.0134412970044162
2014-03-04,0.0139582792110122,-0.0182195986518303,-0.0184209649878257,-0.0128457713461651,-0.0208934977588919,-0.0125306322845121,-0.0118414722184902,-0.0123315189981395,-0.0134341833153144
2014-03-05,0.000905627872348269,-0.0150153267519846,-0.0148637413349323,-0.0172428231206065,-0.0147115209520046,-0.0145799346032564,-0.0111846937360975,-0.0138065952997713,-0.0133429840019859
2014-03-06,0.00228774632950923,-0.0171975774828227,-0.0176486694879153,-0.014750619402862,-0.0154853005874001,-0.0135372216505338,-0.0105268192898119,-0.01331343411189,-0.0133042928472269
2014-03-07,0.000424960074921543,-0.0169850232558799,-0.0174092711561206,-0.0150375384401375,-0.0155264847812869,-0.0129253036173714,-0.00996688691588214,-0.0129199535704345,-0.0132714692850644
2014-03-10,-0.000531321542355023,-0.0170258290660496,-0.0169958124997923,-0.0143454078738521,-0.0138377874883988,-0.0118452063908907,-0.00947228429415202,-0.0125162533145961,-0.0132938209220959
2014-03-11,-0.00495514303693234,-0.0171622045522474,-0.0171294205737261,-0.0141335997652675,-0.0207302970820346,-0.0109893627488455,-0.00925137439755135,-0.0121580633867891,-0.0133132150987214
2014-03-12,0.000267151675095612,-0.0178130622916135,-0.0178073548886574,-0.0131785963912069,-0.0204025221137378,-0.0112643492124137,-0.0108367149772033,-0.0120925919034751,-0.0132910433468473
2014-03-13,-0.0112763988203834,-0.0168653883618795,-0.0164696900942709,-0.0140830080113079,-0.0126051505199789,-0.0104339776340283,-0.0102484046792941,-0.0117610721996618,-0.0132544907704183
2014-03-14,-0.00281203197697888,-0.018310442665469,-0.0174797242972131,-0.0112761032970481,-0.0170580169889449,-0.012440658650285,-0.0141705481578563,-0.0127195223543658,-0.0132561662171724
2014-03-17,0.00900290991871966,-0.0173543021218292,-0.0170490931971924,-0.0134628977470556,-0.0196076459584666,-0.0120711066588926,-0.0139855951497371,-0.0124042550819192,-0.0132386291860215
2014-03-18,0.00711263760001479,-0.0158334159541364,-0.015889890416108,-0.0162837532046913,-0.0149362063403024,-0.0131019834277433,-0.0133486810620215,-0.0128234661582999,-0.0132580071660397
2014-03-19,-0.00534316352432018,-0.0162396662185229,-0.0165635287864451,-0.0160349988983952,-0.015648031063832,-0.0135903634605463,-0.0127792429005398,-0.0129020053937218,-0.0132394240795971
2014-03-20,0.00582265330270904,-0.0182020796686155,-0.0188613970150761,-0.0135075017463806,-0.0225804107566674,-0.0136406431756481,-0.0137522975719312,-0.0127654565871637,-0.0132317743826537
