"","PG","MV CAViaR","MV CAViaR + AR(1)","MV CAViaR + SAV","MV CAViaR + AS","SAV","Abs. Slope","Ind. GARCH","Adaptive"
"141",-8.96200517574997e-05,-0.0484529772422911,-0.0393505823345864,-0.0417531669271849,-0.0556117203044627,-0.0363867014639658,-0.0323617014825537,-0.0351049901809102,-0.0755352893953668
"142",-0.00647549115703594,-0.0507619191513989,-0.0519596149002781,-0.0365862088695572,-0.0383594905691022,-0.0336194538412267,-0.0308060895532612,-0.0339429551811434,-0.0756211558157913
"143",-0.00488418069404428,-0.0521457006028448,-0.0417284145803729,-0.0244719781280274,-0.0416628749148345,-0.0327232506875796,-0.0312505539364343,-0.0331154879576733,-0.0757383999715994
"144",-0.00018155533052866,-0.0520161305288526,-0.0443537024729592,-0.0319428297193666,-0.0420717553101426,-0.0315288864741182,-0.0311922553980115,-0.0322387373786428,-0.0758407228067838
"145",0.022329897188091,-0.050352776549999,-0.043971271168686,-0.0295936866197591,-0.0399212311431833,-0.0292991905647466,-0.0297478464109986,-0.0314335174259556,-0.075910240805819
"146",-0.00480046894461061,-0.0460945307815863,-0.0464572307043206,-0.0596463388968184,-0.054110961211209,-0.0327780387021706,-0.0292709741911457,-0.0336815189455864,-0.0759876341164724
"147",0.00666129364443613,-0.0520941073417889,-0.0553907096820412,-0.0365431325194728,-0.0425654259525652,-0.0315572204882895,-0.029334327257943,-0.0327870166754843,-0.0760633342686954
"148",-0.00106300918607438,-0.0489090113444903,-0.0375910732119319,-0.0372348218454406,-0.0585792762972946,-0.030925453431365,-0.0282309552836141,-0.0320911310829402,-0.0761513861914168
"149",-0.00408455988891276,-0.0508842898978191,-0.0539466551119897,-0.0319367667420556,-0.0412956890776181,-0.0289775306004971,-0.0272851140932216,-0.0311777644603496,-0.0762703594818061
"150",0.00532453765350205,-0.0512724787462062,-0.0438218653070615,-0.0281314732909024,-0.0407872658472261,-0.0279825504889131,-0.0272818782788021,-0.0304323129636268,-0.0763772511629923
"151",-0.00541348500467631,-0.0495016537687859,-0.0454603270091605,-0.0356395046413999,-0.0566881732417397,-0.0273994331071356,-0.0262961457203993,-0.0298232113734844,-0.0764520916208464
"152",-0.0277895267079824,-0.0515105821579642,-0.0511503726342018,-0.0288644744179892,-0.0420048953340565,-0.0269000492590679,-0.0267643428607167,-0.0292691173761266,-0.0747521794480587
"153",-0.00614909688862753,-0.0566813007852169,-0.0485001653257864,-0.00552379639981158,-0.0472607494431311,-0.0328105876051697,-0.0338850888727679,-0.033480768047033,-0.0748469819682379
