"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0218056655717244,-0.0263932717944059,-0.0159386023870125,0.1
"2","df_in[, -1]Diff_Index_1",-0.00267270940646488,-0.00512161728455533,0.0019414893258946,0.1
"3","df_in[, -1]Lag_1",-0.415319291873407,-0.832677144097994,0.136355112304782,0.1
"4","df_in[, -1]Lag_2",-0.166792639951903,-0.270933737583187,-0.0660250743423757,0.1
"5","df_in[, -1]Pos_Val_for_Lag_1",0.000134417988084423,-0.00546653040175817,0.00466569428902337,0.1
"6","df_in[, -1]Pos_Val_for_Lag_2",0.00981433250380494,0.00256736292506535,0.0153020846960582,0.1
