"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.00733100307978541,-0.00976962492871692,-0.00616797862892019,0.1
"2","df_in[, -1]Diff_Index_1",-0.000172051887632968,-0.000729515378819502,0.000513213637739124,0.1
"3","df_in[, -1]Diff_Index_2",-0.000559229021245404,-0.00200811419353444,0.000859159425161789,0.1
"4","df_in[, -1]Lag_1",-0.263112455548299,-0.539505189114852,0.0685153128970274,0.1
"5","df_in[, -1]Lag_2",-0.152108841349915,-0.364408475360657,0.0773713776624557,0.1
