"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.00894819097417034,-0.0120135881665297,-0.00768864064526925,0.05
"2","df_in[, -1]Diff_Index_1",0.000311296737707748,-0.000670660616252986,0.00115041587418626,0.05
"3","df_in[, -1]Diff_Index_2",-0.00107865222734579,-0.00243631151608112,0.000311661926368422,0.05
"4","df_in[, -1]Diff_Index_3",0.000505765579895713,-0.000967403575885811,0.00151614193024155,0.05
"5","df_in[, -1]Diff_Index_4",-0.0006758203666359,-0.00234888738878618,0.00117234966032255,0.05
"6","df_in[, -1]Diff_Index_5",-0.00108514069551418,-0.00267451320127394,0.000548484774904295,0.05
"7","df_in[, -1]Diff_Index_6",-0.000526504722271758,-0.00212379071054523,0.00283035505151841,0.05
"8","df_in[, -1]Diff_Index_7",0.000470066959014216,-0.00309013329440377,0.00364080203127105,0.05
"9","df_in[, -1]Lag_1",-0.429028939079987,-0.68702873703576,0.0438685783410619,0.05
"10","df_in[, -1]Lag_2",-0.125508462223151,-0.597436464589134,0.160634069750075,0.05
"11","df_in[, -1]Lag_3",-0.069707481005124,-0.278392647818665,0.101528242618589,0.05
