"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0116062371518628,-0.015861422619456,-0.00922676196459422,0.1
"2","df_in[, -1]Diff_Index_1",-0.00186646479161768,-0.00650879730461254,0.00229958685041101,0.1
"3","df_in[, -1]Diff_Index_2",-0.000955458722216533,-0.00182223949582965,0.000371224518654042,0.1
"4","df_in[, -1]Diff_Index_3",-0.0001552651027,-0.00209495428599459,0.00088535316294308,0.1
"5","df_in[, -1]Diff_Index_4",-0.00138493505345405,-0.00326131123427363,0.00105816239037446,0.1
"6","df_in[, -1]Diff_Index_5",0.000269966716487557,-0.00180193042277068,0.00173423118290489,0.1
"7","df_in[, -1]Lag_1",-0.549764508717334,-2.03585147982012,0.838290404731174,0.1
"8","df_in[, -1]Lag_2",0.220710857709028,0.0764629800761643,0.367215644895247,0.1
"9","df_in[, -1]Lag_3",-0.0432296354755807,-0.171259758036792,0.136830436325249,0.1
"10","df_in[, -1]Lag_4",-0.00447529579747194,-0.235359874091075,0.189081693506364,0.1
"11","df_in[, -1]Lag_5",0.0424575663919988,-0.0919320346383108,0.225181449871758,0.1
"12","df_in[, -1]Lag_6",0.26634252688242,0.0341851141227924,0.441724105674369,0.1
"13","df_in[, -1]Pos_Val_for_Lag_1",0.00273828937857144,-7.15840516264843e-05,0.0052548139464548,0.1
"14","df_in[, -1]Pos_Val_for_Lag_2",0.000803689189787617,-0.00154690849184157,0.00402626443031263,0.1
"15","df_in[, -1]Pos_Val_for_Lag_3",0.00141585293237503,-0.00124449043426025,0.0037123610337903,0.1
"16","df_in[, -1]Pos_Val_for_Lag_4",0.00204347851453146,-0.00106926838495551,0.00450542247374668,0.1
"17","df_in[, -1]Pos_Val_for_Lag_5",-0.000942780584719999,-0.00337782951918345,0.00242164853989829,0.1
"18","df_in[, -1]Pos_Val_for_Lag_6",-0.00252201750757357,-0.00600636870936712,0.00184245071744168,0.1
