"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0299449347747515,-0.031905599400844,-0.024509139478542,0.01
"2","df_in[, -1]Diff_Index_1",0.000303336647651803,-0.0200811580174724,0.00510779950108483,0.01
"3","df_in[, -1]Diff_Index_2",0.00421099719341929,0.00364168728997359,0.0095819054800114,0.01
"4","df_in[, -1]Diff_Index_3",0.00666936759949613,-0.00649947456132819,0.0112530509326879,0.01
"5","df_in[, -1]Diff_Index_4",-0.000777965553787574,-0.00450241364802964,0.00627070636210829,0.01
"6","df_in[, -1]Diff_Index_5",-0.000199382204624101,-0.0093372606895918,0.00353974365532425,0.01
"7","df_in[, -1]Diff_Index_6",-0.00349953564583238,-0.00870785136758814,0.00673345177684111,0.01
"8","df_in[, -1]Diff_Index_7",0.0054708651911388,-0.00495935896439739,0.00734762194406619,0.01
"9","df_in[, -1]Diff_Index_8",0.00166599952163375,-0.00522642311138273,0.0110177486646151,0.01
"10","df_in[, -1]Lag_1",0.298497358436948,-4.91705181934817,1.46364668423835,0.01
"11","df_in[, -1]Lag_2",0.213685926104482,0.0898945574547282,0.392063905958257,0.01
"12","df_in[, -1]Lag_3",-0.107112838476568,-0.170865770936589,0.14323325610974,0.01
"13","df_in[, -1]Lag_4",0.442840962207621,0.33572074370149,0.514992744519692,0.01
"14","df_in[, -1]Lag_5",-0.170679269031413,-0.224454431769679,-0.0133992850624815,0.01
"15","df_in[, -1]Lag_6",0.324084718886854,0.186366166387349,0.363282166256171,0.01
"16","df_in[, -1]Lag_7",0.139686400988251,-0.0159373076976488,0.275259122459941,0.01
"17","df_in[, -1]Lag_8",0.00423859896530097,-0.0489156823334582,0.153801094227808,0.01
"18","df_in[, -1]Lag_9",0.0392893167236409,-0.156130927789628,0.152034810308093,0.01
