"","PG","MV CAViaR","MV CAViaR + AR(1)","MV CAViaR + SAV","MV CAViaR + AS","SAV","Abs. Slope","Ind. GARCH","Adaptive"
"90",-0.00875232453834407,-0.0149710306366289,-0.0178157704821078,-0.0114830554192332,-0.0136529119963452,-0.0129822890275701,-0.0151908891469154,-0.0127058203361,-0.0152165206964155
"91",0.00981694747654593,-0.0140957878964301,-0.0176077788446639,-0.00994132052306589,-0.0185298634803905,-0.0136336399985485,-0.0180822696035864,-0.0131394785691666,-0.015175195568257
"92",-0.00937729163997769,-0.00911140357222264,-0.0110086998409053,-0.0111664901649747,-0.0145263231852238,-0.0144469144407303,-0.0151003987573378,-0.0137020739602884,-0.0151827093722196
"93",0.000292676203169862,-0.0123322847507177,-0.0113490487890557,-0.00737554823804227,-0.0125819873115106,-0.0149817107713691,-0.0182367025541179,-0.0140068534932474,-0.015206601516011
"94",-0.00347104023703171,-0.0109568138253717,-0.0196763966897895,-0.010149295881906,-0.0166298672915022,-0.0135221083135847,-0.0171567865790599,-0.0129608444056204,-0.0154533663951032
"95",0.00629765437241758,-0.0161046187741788,-0.0147521125334819,-0.0116446747629645,-0.0116475823189601,-0.0130213030184549,-0.0176048874484634,-0.0123549610607725,-0.0154454553897103
"96",-0.00136347266439429,-0.0114691627588137,-0.0172714818148671,-0.011212582937485,-0.0195586851520498,-0.013305571507335,-0.015929246043746,-0.0123513391321939,-0.0154430833173758
"97",0.0128789661330524,-0.0124479632195394,-0.0105357621481902,-0.00960072190552551,-0.00982088532751815,-0.0122848912512075,-0.0159111179880915,-0.0117440147481544,-0.0154396334854747
"98",0.00676009738420014,-0.0119396738104633,-0.0128743163816619,-0.0133952488992027,-0.0135170432687547,-0.0143769957689405,-0.0122637329192394,-0.0138138437791073,-0.0154856275129918
"99",0.000286642052578223,-0.0101104660204296,-0.00569638967624426,-0.0104674229880912,-0.00574689339814102,-0.0144040884663532,-0.0106517592088959,-0.013474948866618,-0.0154847979416796
"100",0.00429015021222501,-0.0157099779704544,-0.0139766993694846,-0.0129211946618716,-0.0127373697768799,-0.0128684999312339,-0.0104340431774205,-0.0125517308005826,-0.0154847452571763
"101",-0.00190423693776687,-0.0127519701828464,-0.0105396415771417,-0.0117286015272843,-0.00938000115860452,-0.0126864277477765,-0.00942772755489321,-0.012115396490597,-0.0154793442313134
"102",0.00204698839494544,-0.0143963919368699,-0.0116417461546622,-0.0110506846682861,-0.0119470405870894,-0.012084413004481,-0.0106127193275157,-0.0116096183782963,-0.0154592627278374
"103",0.00303908528737029,-0.0126181130617942,-0.00867799392950024,-0.0119104756329361,-0.00760112327269792,-0.0114052761108783,-0.00985831758498745,-0.0112443880065273,-0.015471427102451
"104",-0.00299174097146615,-0.0103077748507202,-0.00689631041788048,-0.0112523833617934,-0.00612943103909481,-0.0112169301014131,-0.00925681951189439,-0.0108620655916601,-0.0154848424138997
"105",0.00507577213894983,-0.0163195640064872,-0.0102819792288479,-0.0119187136065707,-0.0146171197366754,-0.0110841952188297,-0.0105905961991293,-0.0107103356840846,-0.0154820009423987
"106",0.00155992508592728,-0.00988517901219287,-0.00895417969661805,-0.0102235609610935,-0.00928114130651134,-0.0113835681606968,-0.00953638313299197,-0.0108991680547227,-0.0154938532956958
"107",0.00325453043158408,-0.0128242718502278,-0.0119894457753061,-0.010166899684653,-0.00834492848468433,-0.0109159276802762,-0.00957139642425318,-0.010620997949121,-0.0154873167613364
"108",-0.00136659999370981,-0.0135714262240544,-0.0111357484058035,-0.0119566669600811,-0.00900878533385189,-0.010905232983778,-0.0085003195397521,-0.0105656752040338,-0.0154859080690495
"109",-0.00952265579375489,-0.0157782205939026,-0.0134321824081356,-0.0122986943553804,-0.014319952378553,-0.010501526765343,-0.00947381040010626,-0.0103666208368,-0.0154727247398081
"110",-0.00774169831723892,-0.0161540477463935,-0.0158942176026535,-0.0104835094764979,-0.0156169026716844,-0.0119135144121393,-0.0136061899470653,-0.0117636630338126,-0.0155062427115639
"111",-0.00196892994726827,-0.0148922311557305,-0.0196047599133524,-0.0102187473579574,-0.0180779233825842,-0.0126603595706319,-0.0164623726773737,-0.0121980192926182,-0.0154771063566371
"112",-0.00139490215679672,-0.0139046211442141,-0.0173480166700025,-0.0116444879389637,-0.0186885802294968,-0.0119651666374145,-0.0166231670557604,-0.0115629408778471,-0.014937398221353
"113",0.00297994379950683,-0.0137707618405943,-0.0150545514722334,-0.00974350612492493,-0.0183694117301992,-0.0113228191405329,-0.0165439743332089,-0.0110796220209434,-0.0149660023682709
"114",-0.00373105182852118,-0.0138499303631156,-0.01491518909355,-0.0121626028238553,-0.011590245376016,-0.0111811408533246,-0.0152107664560235,-0.0107623930771911,-0.0148680873376933
"115",0.00641913683268314,-0.015011399933137,-0.0154503232185693,-0.00959276110972944,-0.0132918872865006,-0.0111981114056346,-0.0162073431405508,-0.0106786511019505,-0.0148272770522223
"116",0.00283493271726343,-0.0105648679306128,-0.0157227449603745,-0.0110381658097038,-0.0125339332935708,-0.0114845530586612,-0.013925706682242,-0.0110984294839263,-0.0148243095426333
"117",-0.00163265168567417,-0.0136860685823164,-0.0160336337800077,-0.0114428754535231,-0.0141921485092273,-0.0111590517604423,-0.0128810714358404,-0.0108227580950117,-0.0148239007371053
"118",0.0129385947358669,-0.0120625676661324,-0.0125446707680772,-0.0104162351136559,-0.0122070306065675,-0.0105047672497013,-0.0131845264822099,-0.0105221641580266,-0.0149555317664564
"119",-0.0365699181244006,-0.00976471998933112,-0.00898335786567233,-0.0118865603148426,-0.0112000538165181,-0.0129007505033736,-0.010225153767016,-0.0129967458252991,-0.014938647097184
"120",-0.0180720763365114,-0.0219053640943511,-0.0228988963464095,-0.0090028080598025,-0.0188213520665389,-0.0217022465868896,-0.0240347011271279,-0.0261963486138166,-0.0155896442090509
"121",0.0178754381528279,-0.0207425673036653,-0.0330345945056697,-0.0126512992568534,-0.0305621179696339,-0.0227170101737941,-0.0291865727215265,-0.0254398585888035,-0.0158770433399581
"122",0.0168842200114865,-0.00806085487694302,-0.0171305244706492,-0.0124470456516801,-0.0175286146514353,-0.0233893140349455,-0.0237342140539037,-0.024828609203898,-0.015862417099468
"123",0.0135533052766554,-0.00822061883019902,-0.00538120008218642,-0.0124421999141034,-0.00852348468157224,-0.0232279538785971,-0.018539271803941,-0.0236937891656018,-0.0158477673568139
