"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0101089083995972,-0.011716959968613,-0.00883149291069406,0.1
"2","df_in[, -1]Diff_Index_1",0.00018218657122607,-0.000458766096987441,0.000637419517791846,0.1
"3","df_in[, -1]Lag_1",0.185213662536599,0.0595965767599862,0.363194855501728,0.1
"4","df_in[, -1]Lag_2",0.264390623828228,0.115229226003104,0.3637784946925,0.1
"5","df_in[, -1]Lag_3",0.0802817768691293,-0.0374876217929377,0.207067280691965,0.1
"6","df_in[, -1]Lag_4",0.0547809390682123,-0.0515839148899798,0.199216198904622,0.1
"7","df_in[, -1]Lag_5",-0.0136180395347933,-0.151160832992815,0.142367174069058,0.1
"8","df_in[, -1]Lag_6",0.181871896885612,0.0557877029568372,0.273540646583869,0.1
"9","df_in[, -1]Lag_7",0.0573657285235348,-0.0495274588296645,0.16111878733919,0.1
"10","df_in[, -1]Lag_8",0.0937299662427647,-0.0186563218644541,0.269298997422599,0.1
