"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.021946866937646,-0.0261461912871284,-0.0153239193459166,0.1
"2","df_in[, -1]Diff_Index_1",-0.000463442853358148,-0.00132895079709797,0.00058756463507703,0.1
"3","df_in[, -1]Lag_1",0.0252647072486788,-0.216031233864253,0.0852234534136762,0.1
"4","df_in[, -1]Lag_2",-0.152628957959187,-0.31425140789989,-0.0461799789180872,0.1
"5","df_in[, -1]Pos_Val_for_Lag_1",0.000114884551091104,-0.00424799514569792,0.00584925038658334,0.1
"6","df_in[, -1]Pos_Val_for_Lag_2",0.00943757953488572,0.00222576866374117,0.0137604417022732,0.1
