"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0109886964041589,-0.0145299687568087,-0.00963634657559095,0.05
"2","df_in[, -1]Diff_Index_1",0.00021791594309533,-0.000528752231403742,0.00106711354174304,0.05
"3","df_in[, -1]Diff_Index_2",-0.00116328699886657,-0.00163299975863241,0.00182409604357733,0.05
"4","df_in[, -1]Diff_Index_3",0.00159690457199157,-0.00211463067171741,0.00615729667095757,0.05
"5","df_in[, -1]Lag_1",-0.426529867404538,-0.718718339193617,0.0700873544203426,0.05
