"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0136557158845775,-0.0156086847692321,-0.0130663751268806,0.05
"2","df_in[, -1]Diff_Index_1",7.68314977682428e-05,-0.000687791146886801,0.0005352515504842,0.05
"3","df_in[, -1]Lag_1",0.28869699396304,0.0818815335068159,0.514784563693468,0.05
"4","df_in[, -1]Lag_2",0.307094183991468,0.154926868289332,0.419944970013495,0.05
"5","df_in[, -1]Lag_3",0.143554004675544,0.00750643540832507,0.27614507533135,0.05
"6","df_in[, -1]Lag_4",0.0436135692247623,-0.0633944082467185,0.247399008432649,0.05
"7","df_in[, -1]Lag_5",0.0277499825550751,-0.150748463767722,0.279776897671126,0.05
"8","df_in[, -1]Lag_6",0.291625279012413,0.155588866935066,0.330382578760823,0.05
"9","df_in[, -1]Lag_7",0.0937912725922372,-0.0380759368213748,0.217356119224208,0.05
"10","df_in[, -1]Lag_8",0.146640659781927,0.0335963881291195,0.301071119539204,0.05
"11","df_in[, -1]Lag_9",0.0373665272732301,-0.0669191941129414,0.121212865339423,0.05
"12","df_in[, -1]Lag_10",0.156445369526168,-0.0182743356982929,0.258690049013048,0.05
