"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0475263060733756,-0.0553844205257223,-0.0401318041619878,0.01
"2","df_in[, -1]Diff_Index_1",-0.000930356030353987,-0.00157333093037433,0.000234926448547957,0.01
"3","df_in[, -1]Lag_1",0.212619933506407,0.0191408512805175,0.642591531417298,0.01
"4","df_in[, -1]Lag_2",-0.446081051962868,-0.473867077267011,-0.344621196901109,0.01
"5","df_in[, -1]Lag_3",0.681865309120021,0.646402719746322,0.768920358635477,0.01
"6","df_in[, -1]Pos_Val_for_Lag_1",-0.0117142299847502,-0.0518766663800607,0.0128630385569856,0.01
"7","df_in[, -1]Pos_Val_for_Lag_2",0.0256479373119448,-0.0331733273250166,0.035401474817698,0.01
"8","df_in[, -1]Pos_Val_for_Lag_3",-0.0196887220568972,-0.0325109051767475,0.0169038469585486,0.01
