"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0214303075592981,-0.0320239466190071,-0.016661304322665,0.01
"2","df_in[, -1]Diff_Index_1",-0.000316366211823612,-0.00114588938898679,0.000334719602614588,0.01
"3","df_in[, -1]Lag_1",0.274875642097025,0.0826638485270335,0.48519605303982,0.01
"4","df_in[, -1]Lag_2",0.447540323032208,0.00593989718172491,0.58875333462448,0.01
"5","df_in[, -1]Pos_Val_for_Lag_1",0.00287114032587839,-0.00209810701064253,0.0110944901877353,0.01
"6","df_in[, -1]Pos_Val_for_Lag_2",-0.00501710316408492,-0.00883084716561411,0.00655005801517322,0.01
