"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.00728244360442946,-0.00932486545973475,-0.00581450711217764,0.1
"2","df_in[, -1]Diff_Index_1",0.000101395351238995,-0.000682522851661084,0.000630745922623817,0.1
"3","df_in[, -1]Diff_Index_2",-0.000572236318341599,-0.00210474049258559,0.00143014607853944,0.1
"4","df_in[, -1]Diff_Index_3",0.0019330119837066,-0.000959884583866967,0.00437577830840439,0.1
"5","df_in[, -1]Lag_1",-0.145617563883443,-0.394353753727954,0.173326746198329,0.1
"6","df_in[, -1]Lag_2",-0.113453555892557,-0.345937911016974,0.114347973027564,0.1
"7","df_in[, -1]Lag_3",-0.108651687971982,-0.277363194244829,0.0628674060090521,0.1
