Index,PG,MV CAViaR,MV CAViaR + AR,MV CAViaR + SAV,MV CAViaR + AS,SAV,Abs. Slope,Ind. GARCH,Adaptive
2014-01-03,-0.000164181101187211,-0.0158080883504183,-0.0167896957963443,-0.012318376287083,-0.0148299994598102,-0.0125814023075224,-0.0121519298858505,-0.0123713075523672,-0.0135138799770067
2014-01-06,-0.0029022122852842,-0.0156322410917574,-0.0191622287980321,-0.0140155527669844,-0.0184798518559283,-0.0115593210293449,-0.0112473571655142,-0.0119703425568099,-0.0134566673754376
2014-01-07,0.00612303649672707,-0.0161570469189509,-0.0164063373658431,-0.014169563158861,-0.0185643606206145,-0.0112926763567548,-0.0115950488661426,-0.0117009163475614,-0.0134807285825492
2014-01-08,0.00021832780973341,-0.0170261772802945,-0.0199248599941889,-0.0168762248864152,-0.0169150590659274,-0.0113510295370852,-0.0109466428039616,-0.0117822080850313,-0.013455016079999
2014-01-09,0.000653366456850435,-0.0181797323038973,-0.0150462532515833,-0.0159941648786522,-0.0149769419532094,-0.0104342958244268,-0.0102813245112302,-0.0114383560822617,-0.0133341767881713
2014-01-10,0.00271894536776696,-0.0176259129114828,-0.0208006495716318,-0.0163159142542047,-0.0153450908790626,-0.00973147778753495,-0.00970253380443287,-0.0111332109046457,-0.0133084624926696
2014-01-13,-0.0133943571902257,-0.0168822120275484,-0.0180877462648805,-0.0166660752332201,-0.016048020163418,-0.00959128861963858,-0.00926106153834052,-0.0109412606691964,-0.0132864035295675
2014-01-14,0.0108388300137623,-0.0170271689445123,-0.0229284505832493,-0.0125369436594753,-0.0148957630498249,-0.0123852299460207,-0.0138593929261197,-0.0126791579601877,-0.0133836707410407
2014-01-15,0.00537548898145257,-0.018097456483409,-0.015926631752375,-0.018341359042105,-0.0199068077041427,-0.0138315624942772,-0.0132770036430377,-0.0134152596997041,-0.0133772335192661
2014-01-16,-0.00130059790501225,-0.015769007244278,-0.0149979850596214,-0.015353306164123,-0.014064478247033,-0.0138437881000916,-0.0125475331260732,-0.0132108804747584,-0.013403659057256
2014-01-17,-0.00423830926774382,-0.0179049639889062,-0.0227450608367568,-0.0161503862529153,-0.0221697603769443,-0.0129193972608798,-0.0122186953530156,-0.012763127439094,-0.0133795301301559
2014-01-21,0.00293630025211389,-0.0165131827994513,-0.0164029986616072,-0.0141494665440488,-0.0184758549254769,-0.0123517583254306,-0.0129485709229476,-0.0124885617623019,-0.0133846365203141
2014-01-22,0.000651314659363855,-0.0183764593828588,-0.0187841275175655,-0.0171085280939317,-0.0170690791279809,-0.0119342669993514,-0.0122085548370749,-0.0121801668804874,-0.0134022490362238
2014-01-23,-0.00822677505236236,-0.0173156544447263,-0.0168771535618745,-0.0154543519060608,-0.0140028561016395,-0.0110451869229631,-0.0114850707249599,-0.0118163409887922,-0.0134022409259004
2014-01-24,-0.0215668301287328,-0.0202109299760774,-0.020990113601887,-0.0170332307631674,-0.0231817564644495,-0.0120099519782641,-0.0136853438979831,-0.0121919659359387,-0.0133575170977729
2014-01-27,-0.00493171042298357,-0.0181041162985007,-0.0233182232480348,-0.0116992970419243,-0.0129603680549593,-0.0163461244526844,-0.020813279924382,-0.0160478959795281,-0.0135162808178806
2014-01-28,0.00593714782483001,-0.0161273456075211,-0.0257478455228063,-0.0129355575283122,-0.0163890569253939,-0.0159377656385134,-0.02044330444085,-0.0155398212650382,-0.0134695878406669
2014-01-29,-0.00965157003259787,-0.0150478932239416,-0.0183831888710999,-0.0151130539130515,-0.0134612295467754,-0.0158114175942539,-0.0188247797380386,-0.0151705256662133,-0.0134907784754127
2014-01-30,0.0105449115478615,-0.018706581040779,-0.0256837423534513,-0.0150679086056078,-0.0196837796853589,-0.0165513080598425,-0.020696140435221,-0.0153146177219997,-0.0135144430140601
2014-01-31,-0.00587600635690499,-0.0155817850602199,-0.0206011654761783,-0.0163011187494399,-0.0161309515240748,-0.0174018620659455,-0.0193061468731734,-0.0155594377991874,-0.0134943344387586
2014-02-03,-0.0227622086037806,-0.0174160658200097,-0.0228370109678593,-0.0147240222414923,-0.0192901374341803,-0.0170757544937593,-0.0198004468074118,-0.0151940839475925,-0.0134762354931584
2014-02-04,0.00697986804233519,-0.0170672164793355,-0.0326848583791129,-0.0108283527978543,-0.0109245458835995,-0.0206567688531729,-0.0257208000904048,-0.0185227265215869,-0.0137116257228262
2014-02-05,-0.00125482796224752,-0.0159562265710893,-0.0163660084598862,-0.0153810066906905,-0.0145359139647694,-0.0201708386225903,-0.0237692594278483,-0.0179653149339457,-0.0136712507984007
2014-02-06,0.0131008882698058,-0.0146218814965622,-0.0211921291529147,-0.0123636969486501,-0.0157214404992401,-0.018435600484873,-0.0222921526673284,-0.0171178739602776,-0.013685163065559
2014-02-07,0.0123197576004035,-0.0169845865590304,-0.0246619884092163,-0.0179996513296619,-0.0194060193174439,-0.0196318111744955,-0.0209179726376405,-0.0175985585246603,-0.0136844531921666
2014-02-10,0.00183470734533664,-0.0145332925999664,-0.0123407672863127,-0.0161271581338346,-0.015875072284871,-0.0204979228075698,-0.0196602412319166,-0.017861187332165,-0.0136562663675989
2014-02-11,0.0108845882370145,-0.0169513424673017,-0.0214592428251425,-0.0157837144384371,-0.0145592854337214,-0.0188543088905643,-0.0181968152131675,-0.0170426954085252,-0.0136118523167757
2014-02-12,0.000494451958483744,-0.0177104811840004,-0.0143765966240193,-0.0179360805218719,-0.0191362629099678,-0.0194934751933595,-0.0166828435446842,-0.0171473382408033,-0.0135512090624188
2014-02-13,0.00514928265570713,-0.0156476812098246,-0.0113662319683691,-0.0138837955135897,-0.0112686763422335,-0.017667184449733,-0.0149113686387743,-0.0163711238157875,-0.0134934125592668
2014-02-14,0.00550397146245007,-0.0161027159193585,-0.0161116573156953,-0.016124955284868,-0.0152942726456329,-0.0171418877989016,-0.0138181805422858,-0.0158663114311114,-0.0134959251804941
2014-02-18,0.00119470017198609,-0.0171181309984082,-0.0128928534874086,-0.0166223799942486,-0.0162300233555254,-0.0167631502908823,-0.0128478168747844,-0.0154392195736972,-0.0134879756439281
2014-02-19,-0.00664366212914302,-0.0162853409463695,-0.0148605427008917,-0.0151248270908022,-0.0133083416266275,-0.0154477695173094,-0.0119804737746003,-0.0148217272353807,-0.0134969404833223
2014-02-20,0.00588343445363915,-0.0155208270870368,-0.0155516122689163,-0.0121861334823385,-0.0148925795867123,-0.0156292756990659,-0.0138796340453794,-0.0146169521912994,-0.013478677116651
2014-02-21,-0.00114124163590645,-0.0173945028434703,-0.0133923313890926,-0.0168043946784836,-0.0167703793557334,-0.015455294355643,-0.0129325828678347,-0.0143287616569218,-0.0134928096078432
2014-02-24,0.00553158717329438,-0.0185921320211339,-0.014199204543629,-0.0166517557688821,-0.023116435600564,-0.0142979790059273,-0.0124957122441818,-0.0137856944761407,-0.0134696343216279
2014-02-25,-0.00037876220006261,-0.0161852235515582,-0.017765436118796,-0.015680048465954,-0.0146527369741949,-0.0143175607278469,-0.0117306452343962,-0.0135657673543555,-0.0134442671108921
2014-02-26,5.41832652283247e-05,-0.0167209173426778,-0.0134581560089101,-0.0154649321369438,-0.0209366265647144,-0.0131669826248753,-0.0111616014623675,-0.013094028889718,-0.0134690644209602
2014-02-27,0.00523366203352271,-0.0174996475257722,-0.0210934297442979,-0.0160593826864658,-0.0148049001842447,-0.0120500302393091,-0.0104848914011501,-0.0126231033917233,-0.0134472848983278
