"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0519662130738504,-0.0640620722303781,-0.0446849459865088,0.01
"2","df_in[, -1]Diff_Index_1",0.00124937982662205,-0.00463910853793288,0.00198237703936358,0.01
"3","df_in[, -1]Lag_1",0.116960343810066,0.0725995030304993,0.274780798474539,0.01
"4","df_in[, -1]Lag_2",-0.183612378293484,-0.265041387531931,-0.160666561709467,0.01
"5","df_in[, -1]Lag_3",0.541285400025226,0.0547807373503576,0.548391425870429,0.01
"6","df_in[, -1]Lag_4",0.0994039182898988,0.0994039182898988,0.116126744216484,0.01
"7","df_in[, -1]Lag_5",0.0949789629318421,0.00962798303916525,0.111113886854554,0.01
"8","df_in[, -1]Lag_6",0.0420136322878101,-0.0223548606948557,0.0628189544058002,0.01
"9","df_in[, -1]Lag_7",0.0388813508100096,0.0286159076023464,0.16096879619151,0.01
