"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0171475588200659,-0.0202619945637023,-0.0145899645875758,0.05
"2","df_in[, -1]Diff_Index_1",0.000924762324825294,-0.000160824896208677,0.00163747275953739,0.05
"3","df_in[, -1]Diff_Index_2",-0.00364290581529617,-0.00423727423523137,0.0011543582456399,0.05
"4","df_in[, -1]Diff_Index_3",-0.000827885916755686,-0.00174803548997042,0.0027749553856909,0.05
"5","df_in[, -1]Diff_Index_4",-0.0085767812670496,-0.0122859971211625,-0.00202490655332024,0.05
"6","df_in[, -1]Lag_1",-0.825193197114794,-1.12906429772011,-0.4751705403907,0.05
