"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.019512119422315,-0.0242549955778489,-0.0156121956426302,0.05
"2","df_in[, -1]Diff_Index_1",-0.000631965632662891,-0.00146975444927711,0.000831596104341862,0.05
"3","df_in[, -1]Diff_Index_2",-0.000467201436472449,-0.0029118398079302,0.00259628485328808,0.05
"4","df_in[, -1]Diff_Index_3",0.000243483693772938,-0.00346164700438822,0.00395883330610188,0.05
"5","df_in[, -1]Diff_Index_4",-0.000940165808825991,-0.00224938867993448,0.0017410973364844,0.05
"6","df_in[, -1]Lag_1",-0.720007519978316,-1.20724154349008,-0.336845307838424,0.05
