Index,PG,MV CAViaR,MV CAViaR + AR,MV CAViaR + SAV,MV CAViaR + AS,SAV,Abs. Slope,Ind. GARCH,Adaptive
2010-01-05,0.00264329431301746,-0.0189317012102562,-0.0189976673843971,-0.0215095963308347,-0.0220691471686172,-0.0111274876856003,-0.0096788973237359,-0.0108440972594944,-0.0266083521633768
2010-01-06,0.000703870036578458,-0.0190407208674884,-0.0177770067869788,-0.0140785543234692,-0.0167389685867541,-0.010749608583122,-0.00931105929162556,-0.0105676444684269,-0.0266857598827146
2010-01-07,0.0042127186440224,-0.0190098248958808,-0.0193998438765693,-0.0139264973982039,-0.0150699447617989,-0.0102047745071322,-0.00900461630098407,-0.0102727612974972,-0.0263960539312711
2010-01-08,0.00332208319765126,-0.019031195760461,-0.0178127001845239,-0.0153809838314375,-0.0142556846908182,-0.010038124692748,-0.00860422354226311,-0.0100683440952274,-0.0264363283225723
2010-01-11,0.00139555692459048,-0.0190039013938553,-0.0190699933462214,-0.0146520735981627,-0.0135607320385609,-0.00979413748124912,-0.00825336745255325,-0.00984140051829602,-0.026439751486894
2010-01-12,-0.00937038701825443,-0.0190048082146502,-0.0194475612693366,-0.0137716004307808,-0.0137558569675274,-0.00937613856242613,-0.00791092459645179,-0.0095803269286955,-0.0264555973242328
2010-01-13,0.00841128888323794,-0.0190967234144151,-0.0181644588317091,-0.00745846048085831,-0.0111210822811168,-0.0097670234473595,-0.00929555268559564,-0.00972219175140602,-0.026466389643624
2010-01-14,0.0027005159932223,-0.0189661805591993,-0.0194527179173144,-0.0180380931305004,-0.0231906447465459,-0.010039453759738,-0.00875207597132491,-0.00979270542402286,-0.0265301299740722
2010-01-15,-0.0112875547251852,-0.0190318997182297,-0.0181093736885467,-0.0138798972643766,-0.0142662228219959,-0.00973253543428265,-0.00843462416910083,-0.00955654597415323,-0.0265317043461635
2010-01-19,0.0124184262235483,-0.0190979454685011,-0.0185277046664002,-0.00685402869455679,-0.0121812505599121,-0.0102941688616312,-0.0101275367924081,-0.00993588251648402,-0.0265765221349927
2010-01-20,-0.0102209761660816,-0.0189563691476922,-0.0189770154400887,-0.019576187477003,-0.0225803276525792,-0.0109253218690911,-0.00941173850067626,-0.0103749168295895,-0.0265695228666942
2010-01-21,-0.0194162752890206,-0.0191264930756986,-0.017183731040611,-0.00754890563250673,-0.0159886566641851,-0.0115681180163066,-0.0110513691136929,-0.0105538239893298,-0.0265903376668578
2010-01-22,-0.0225442059062777,-0.0191500316333034,-0.0182353326099955,-0.00268648811837693,-0.0214195683070266,-0.0133892753365605,-0.0137496613296661,-0.0118394822441252,-0.0266298084579612
2010-01-25,0.0051149889174793,-0.0191478132271512,-0.0189925495832601,-0.00129223578075497,-0.0195943213789911,-0.0151586063674999,-0.0169725779926538,-0.013678496202353,-0.0266370767405015
2010-01-26,-0.00419954903783637,-0.0189876988877669,-0.0193186577038693,-0.0160603350245942,-0.0204608005091462,-0.0147083125995451,-0.0161929803678275,-0.0133512325714418,-0.026690734107489
2010-01-27,0.00474605777701331,-0.0190592190386527,-0.018521226748737,-0.0108731817593021,-0.0132271057438526,-0.0142083584958997,-0.0162606283995899,-0.0130054841705814,-0.0266848371305971
2010-01-28,-0.011538587025032,-0.0190213947385765,-0.0180812827055412,-0.0158350641384018,-0.024717598557321,-0.0138104783718,-0.0155238774469934,-0.0124733895825057,-0.0266792016606015
2010-01-29,-0.0109283163495935,-0.0190942158005517,-0.0187272338847468,-0.00711686119914578,-0.0129833659574593,-0.0142364173665955,-0.0167056846208143,-0.0126079481937523,-0.0267195509283519
2010-02-01,0.0154311401695892,-0.0191028490074188,-0.0182591169159722,-0.00689323002051567,-0.0206623426633709,-0.0145587448236852,-0.0178480722816029,-0.0126823660197931,-0.0267466717072416
2010-02-02,0.0120304062081775,-0.0189449355858789,-0.0187778670019985,-0.0216353904594158,-0.0240354607503453,-0.0148498412269412,-0.0166572088804509,-0.0131761961106182,-0.0267632027012243
2010-02-03,-0.00499464300314134,-0.0189420422124961,-0.019619936145846,-0.0190882541330481,-0.0143967224257519,-0.0150328981143758,-0.0157175794950093,-0.0132987031997643,-0.0267977908089586
2010-02-04,-0.0313527038243491,-0.0190617971536829,-0.0185909495220038,-0.0111436989011676,-0.0160621183845986,-0.0146599869982572,-0.0159801087740093,-0.0129932315563036,-0.0268414066448013
2010-02-05,0.00206490815192151,-0.0192405475657121,-0.0172578192786191,0.00393005290165627,-0.0229723651483702,-0.0178925863058924,-0.0204535644740523,-0.0162092549915009,-0.027046524132117
2010-02-08,-0.00724544616166067,-0.0190480251289677,-0.0176156271643936,-0.0139675738228741,-0.0193169886886619,-0.0169012172576911,-0.0195998229921468,-0.0153741649625484,-0.0273119293500611
2010-02-09,0.0124820588353174,-0.0190677457392416,-0.0188410570282112,-0.00942004513120585,-0.0128010993742458,-0.0165909226160206,-0.0199887726360191,-0.0150499509297484,-0.0271587983462375
2010-02-10,-0.00196066544469886,-0.0189232839099544,-0.0202559823490372,-0.0201264322371843,-0.0226908513075917,-0.0169156654961727,-0.0188441848622259,-0.0150805010453593,-0.027158480664143
2010-02-11,0.0104122883847024,-0.0190486573680293,-0.0184539032313426,-0.0127401895151043,-0.0157202628404032,-0.0159512293217555,-0.018462096831881,-0.014634983131549,-0.0272059244455533
2010-02-12,-0.00083285577462,-0.018961135373289,-0.0192208667949446,-0.0185866480841302,-0.0245189253994725,-0.0160806498600426,-0.017458286096107,-0.0145447646531975,-0.027206090795138
2010-02-16,0.0156119305428346,-0.0190534566795629,-0.018024626085522,-0.0124121257538581,-0.0143496759354719,-0.0151019668137584,-0.016927916983875,-0.0141106719984432,-0.027253584829857
2010-02-17,0.00472801973841541,-0.0189263921821841,-0.0194635830547726,-0.0209808152331627,-0.0233544509688164,-0.0158907170260908,-0.0158129702092097,-0.0144897957623154,-0.0272546032646901
2010-02-18,0.0058776953085129,-0.0190054081308112,-0.0187097308062326,-0.0162258516432619,-0.0175549564561599,-0.0153728166010048,-0.015111920236168,-0.0141286917757287,-0.027210030011799
2010-02-19,0.00207152101194463,-0.0189865323997819,-0.0192007270781508,-0.0164675832656352,-0.0146057932473754,-0.015025382143765,-0.0144053245345001,-0.0138228176307481,-0.0272068336009205
