"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0116415189879789,-0.0127476768526224,-0.010158899484048,0.1
"2","DF1",-0.000194729058753133,-0.000650280810626895,0.000156080435724057,0.1
"3","DF2",0.000413614407539654,-0.000899011796608744,0.0011524102444757,0.1
"4","DF3",0.000776068408266968,-0.000871005717845729,0.00198165235341422,0.1
"5","DF4",0.00134050109816834,-0.000962195735689376,0.0024558632765223,0.1
"6","DF5",-0.000339865487035126,-0.00193689067968,0.00244565800310779,0.1
"7","DF6",-0.00303305026955715,-0.00504040793861134,0.000999011129478547,0.1
