"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0101676270942383,-0.0129301286916733,-0.00439991388236761,0.05
"2","df_in[, -1]Diff_Index_1",-1.49633272934722e-05,-0.00105212249409091,0.000542493208707601,0.05
"3","df_in[, -1]Diff_Index_2",-0.000183132657835615,-0.00122218811850726,0.00105354820921891,0.05
"4","df_in[, -1]Diff_Index_3",0.00149043341492736,-0.000252438076015955,0.00327938284929642,0.05
"5","df_in[, -1]Diff_Index_4",-2.42883318635086e-05,-0.00266682938712568,0.00234454896841939,0.05
"6","df_in[, -1]Diff_Index_5",0.000278988509531416,-0.00170554475014567,0.00464409608716401,0.05
"7","df_in[, -1]Diff_Index_6",-0.000927270631320662,-0.00488751435521422,0.00147668081196906,0.05
"8","df_in[, -1]Diff_Index_7",0.00146339854380275,-0.00212970066614521,0.00397985535953645,0.05
"9","df_in[, -1]Diff_Index_8",0.000167551425427751,-0.00315001787439086,0.00324966763521678,0.05
"10","df_in[, -1]Diff_Index_9",0.00537131889396946,-0.000542205713677784,0.00920622485960514,0.05
"11","df_in[, -1]Diff_Index_10",0.00235199645242528,0.000358103019389719,0.00841094406042139,0.05
"12","df_in[, -1]Diff_Index_11",-0.00142054029783642,-0.00444247852653675,0.00310646052590606,0.05
"13","df_in[, -1]Diff_Index_12",-0.00189444677104045,-0.0064737187034656,0.000831765119672293,0.05
"14","df_in[, -1]Diff_Index_13",-0.00305455715419584,-0.00458285675529297,0.0033041127599956,0.05
"15","df_in[, -1]Diff_Index_14",-0.0025151908449054,-0.00670498499380518,0.00705028176486257,0.05
"16","df_in[, -1]Diff_Index_15",-0.00492622135695204,-0.00939892792282959,0.00471742117484401,0.05
"17","df_in[, -1]Diff_Index_16",-0.00428960926354445,-0.0126454653995053,0.00417158473820012,0.05
"18","df_in[, -1]Diff_Index_17",-0.00344718223205957,-0.0105256591432067,0.00986534923302826,0.05
"19","df_in[, -1]Lag_1",0.186136692879963,-0.274412088080801,0.414630919243493,0.05
"20","df_in[, -1]Lag_2",-0.420011748339921,-0.99428146018612,-0.0135034291754798,0.05
"21","df_in[, -1]Lag_3",-0.300234746977399,-0.735018568495547,0.124803290475578,0.05
"22","df_in[, -1]Lag_4",0.00711926411903573,-0.687111778245194,0.26608559447255,0.05
"23","df_in[, -1]Lag_5",-0.201114816509157,-0.628922996158178,0.0328789440431176,0.05
"24","df_in[, -1]Lag_6",-0.169236377609647,-0.59444635574094,-0.0111518520915958,0.05
