"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.00941903914226649,-0.0105317965305945,-0.00817901796595904,0.1
"2","DF1",-0.000243518150878089,-0.000638312994267852,-6.69338815102108e-06,0.1
"3","DF2",-0.000218346424538381,-0.000576285798090655,0.000430039330217171,0.1
"4","DF3",0.000382552928884922,-0.000670322379461684,0.00172543790462154,0.1
"5","DF4",-0.000874549465799571,-0.00153327536634556,0.000292279455302381,0.1
"6","DF5",0.00150666837310108,-0.000371428477369006,0.00291424113256775,0.1
