"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0123615533664908,-0.0164989269438818,-0.0100984119960185,0.1
"2","df_in[, -1]Diff_Index_1",-0.000532337791216146,-0.00226076170960551,0.00140318845103066,0.1
"3","df_in[, -1]Diff_Index_2",-0.000313540950378535,-0.000561960894944227,0.000113546824217065,0.1
"4","df_in[, -1]Diff_Index_3",0.000197121739524572,-0.000633563714831392,0.00122585590288196,0.1
"5","df_in[, -1]Diff_Index_4",-0.000393343591370829,-0.00156384337689762,0.000688290887229039,0.1
"6","df_in[, -1]Diff_Index_5",0.00164848394912062,0.000443506636901811,0.00302560007146904,0.1
"7","df_in[, -1]Lag_1",-0.21375675426773,-0.986532466538703,0.608891676302066,0.1
"8","df_in[, -1]Lag_2",0.207308032119407,-0.0332813121926445,0.358167553019308,0.1
"9","df_in[, -1]Lag_3",-0.0415214466425838,-0.203532539101943,0.0680288947276708,0.1
"10","df_in[, -1]Lag_4",0.00481124577032977,-0.183100238859927,0.211474670528456,0.1
"11","df_in[, -1]Lag_5",0.051590226063302,-0.0769469194570016,0.180175097141567,0.1
"12","df_in[, -1]Lag_6",0.248334173602859,0.0832915823822741,0.402267505320218,0.1
"13","df_in[, -1]Pos_Val_for_Lag_1",0.00312273012195043,6.21008627671569e-05,0.00593472504202319,0.1
"14","df_in[, -1]Pos_Val_for_Lag_2",0.0015151984378373,-0.00191687947768755,0.00438718676603471,0.1
"15","df_in[, -1]Pos_Val_for_Lag_3",0.0010916151970954,-0.000656074076297508,0.00429635227559906,0.1
"16","df_in[, -1]Pos_Val_for_Lag_4",0.0018461392066724,-0.00139763728397833,0.00446387301684774,0.1
"17","df_in[, -1]Pos_Val_for_Lag_5",-0.000976620786630238,-0.00385128748660087,0.00126653080819782,0.1
"18","df_in[, -1]Pos_Val_for_Lag_6",-0.00227338125204445,-0.0050038624353539,0.00112443913001195,0.1
