"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0435767292583328,-0.0594475686427337,-0.0185901718101911,0.01
"2","df_in[, -1]Diff_Index_1",0.000364440928646029,-0.00787237314347014,0.0102933346183612,0.01
"3","df_in[, -1]Diff_Index_2",5.68769057750463e-05,-0.00371797592411001,0.000642980115148142,0.01
"4","df_in[, -1]Diff_Index_3",0.00403653416445448,-0.00203566040648316,0.00674760664327257,0.01
"5","df_in[, -1]Diff_Index_4",-0.00127904731266499,-0.00277776299402542,0.00418846741810261,0.01
"6","df_in[, -1]Diff_Index_5",0.00304177135054307,-0.00668502177536524,0.00678193330179685,0.01
"7","df_in[, -1]Diff_Index_6",0.000310435828295496,-0.00530102908281438,0.00234897008484103,0.01
"8","df_in[, -1]Diff_Index_7",0.00453576839361172,0.00144099551601516,0.0070640278236028,0.01
"9","df_in[, -1]Diff_Index_8",-0.00117171371981615,-0.00920857129759895,0.00580897735732905,0.01
"10","df_in[, -1]Diff_Index_9",0.00260130789094268,-0.00105780423934905,0.0120894739523139,0.01
"11","df_in[, -1]Diff_Index_10",0.00199961202332368,-0.000472773054222496,0.00781256707870674,0.01
"12","df_in[, -1]Diff_Index_11",-0.00164521227864597,-0.0158909687233297,0.00703631043212383,0.01
"13","df_in[, -1]Diff_Index_12",-0.000600952724670974,-0.00849097342060838,0.00654614685116977,0.01
"14","df_in[, -1]Diff_Index_13",0.0010678343610316,-0.00530100466878012,0.00680206768756693,0.01
"15","df_in[, -1]Lag_1",0.0138673853347822,-3.10409033246028,4.03624442231893,0.01
"16","df_in[, -1]Lag_2",0.227013107356898,-0.0355492731218392,0.417743032151635,0.01
"17","df_in[, -1]Lag_3",-0.207358372935409,-0.293180796661347,0.274761936118898,0.01
"18","df_in[, -1]Lag_4",0.366637330152254,-0.162545550146506,0.450190043527875,0.01
"19","df_in[, -1]Lag_5",-0.223953057459808,-0.569530260247604,-0.159768783258944,0.01
"20","df_in[, -1]Lag_6",0.0722636810073037,-0.189623048683153,0.262712850757764,0.01
"21","df_in[, -1]Lag_7",-0.193422176936069,-0.323111676297794,0.169897691751686,0.01
"22","df_in[, -1]Lag_8",-0.150155169965464,-0.178297776245368,0.141737330321098,0.01
"23","df_in[, -1]Lag_9",-0.139308854561339,-0.523283786220246,0.320049112781488,0.01
"24","df_in[, -1]Pos_Val_for_Lag_1",0.00682188740666811,-0.010740182658777,0.0152417551754321,0.01
"25","df_in[, -1]Pos_Val_for_Lag_2",-0.00798983082506159,-0.017220265343248,0.0067019211800413,0.01
"26","df_in[, -1]Pos_Val_for_Lag_3",0.00511434896204088,-0.0132871305500333,0.00952505229672324,0.01
"27","df_in[, -1]Pos_Val_for_Lag_4",-0.00143182655400584,-0.00413843484297636,0.0195657375571401,0.01
"28","df_in[, -1]Pos_Val_for_Lag_5",0.0027968381881188,-0.00428893219760719,0.0216659747845057,0.01
"29","df_in[, -1]Pos_Val_for_Lag_6",0.00383036502788807,-0.0122140173068689,0.0135773766293611,0.01
"30","df_in[, -1]Pos_Val_for_Lag_7",0.0090621427435588,-0.00887855047200941,0.0222894507866441,0.01
"31","df_in[, -1]Pos_Val_for_Lag_8",0.00773251471317703,-0.00366208980609319,0.0143650539533351,0.01
"32","df_in[, -1]Pos_Val_for_Lag_9",0.00605241245717613,-0.00286312150517394,0.0230538632668331,0.01
