"","term","estimate","conf.low","conf.high","tau"
"1","(Intercept)",-0.0158588057949052,-0.0239154653029048,-0.00857450342016,0.1
"2","df_in[, -1]Diff_Index_1",-0.00102035374706037,-0.00271722686784665,0.000817768313988319,0.1
"3","df_in[, -1]Lag_1",-0.393109077850152,-1.08371231454564,0.370167705555406,0.1
"4","df_in[, -1]Lag_2",0.285677673628124,-0.0360241120688967,0.384328103943741,0.1
"5","df_in[, -1]Lag_3",-0.0582900735181493,-0.228138314466004,0.110797246881948,0.1
"6","df_in[, -1]Lag_4",0.190384541473057,-0.0407430149866802,0.321185593013506,0.1
"7","df_in[, -1]Lag_5",-0.185122896755641,-0.33844302222859,0.20306472411391,0.1
"8","df_in[, -1]Lag_6",0.0594881513523294,-0.15640432686124,0.188411236471996,0.1
"9","df_in[, -1]Lag_7",0.153602849897034,-0.0301228357437109,0.304384225843036,0.1
"10","df_in[, -1]Lag_8",-0.036216084257327,-0.212470787046809,0.138607813836712,0.1
"11","df_in[, -1]Pos_Val_for_Lag_1",0.00491188841698087,0.000566046699027821,0.00832387773344961,0.1
"12","df_in[, -1]Pos_Val_for_Lag_2",-0.00179923728905851,-0.00566776641994197,0.00268171699909737,0.1
"13","df_in[, -1]Pos_Val_for_Lag_3",0.00190837194182949,-0.00192977893564499,0.0072608327483506,0.1
"14","df_in[, -1]Pos_Val_for_Lag_4",-0.000936911673193879,-0.00518503781136916,0.00379422729078519,0.1
"15","df_in[, -1]Pos_Val_for_Lag_5",0.00302772602490526,-0.00228417993417192,0.00766605716219292,0.1
"16","df_in[, -1]Pos_Val_for_Lag_6",3.65734446994285e-05,-0.00239772907749411,0.00409078505589447,0.1
"17","df_in[, -1]Pos_Val_for_Lag_7",-0.000807643437001276,-0.00404496533198755,0.0032557273051528,0.1
"18","df_in[, -1]Pos_Val_for_Lag_8",0.00125260239289633,-0.00248740515878707,0.00551227666445555,0.1
